#RPLIDAR SCAN DATA
#COUNT=132948
#Angule	Distance	Quality
72.8594 219.0 47
73.4688 218.0 47
72.9375 217.0 47
74.6719 216.0 47
75.2813 216.0 47
75.8906 215.0 47
76.4844 215.0 47
77.0938 214.0 47
76.5781 214.0 47
77.5625 213.0 47
78.9063 212.0 47
79.5156 212.0 47
80.1250 212.0 47
80.7344 211.0 47
80.3281 211.0 47
81.9375 211.0 47
82.5469 210.0 47
83.1563 210.0 47
83.0000 210.0 47
84.3438 209.0 47
84.8281 209.0 47
85.5469 209.0 47
86.1563 209.0 47
86.7500 209.0 47
87.3594 209.0 47
87.9531 208.0 47
87.9219 208.0 47
89.1563 208.0 47
89.7500 208.0 47
90.3594 208.0 47
90.9531 208.0 47
91.3125 208.0 47
92.1563 208.0 47
92.7656 208.0 47
93.3594 208.0 47
93.9531 209.0 47
94.5625 209.0 47
95.1563 209.0 47
95.7656 209.0 47
96.3594 209.0 47
96.7188 209.0 47
97.5625 210.0 47
98.1563 210.0 47
98.7656 210.0 47
98.8594 210.0 47
99.2188 211.0 47
100.5625 211.0 47
101.1719 211.0 47
101.7656 212.0 47
102.0000 212.0 47
102.9688 213.0 47
103.5781 213.0 47
104.1719 214.0 47
103.7813 214.0 47
104.3750 215.0 47
105.6094 215.0 47
106.2188 216.0 47
107.1875 216.0 47
107.7969 217.0 47
108.3906 218.0 47
107.7500 218.0 47
109.6094 219.0 47
110.2031 220.0 47
110.8125 220.0 47
111.4063 223.0 47
113.7344 878.0 47
115.1875 773.0 47
114.9219 1393.0 47
116.1250 1417.0 47
116.7188 1447.0 47
117.3281 1342.0 47
117.9219 1345.0 47
240.1094 212.0 47
240.4688 213.0 47
242.3125 214.0 47
242.9219 215.0 47
243.5156 216.0 47
244.1250 217.0 47
244.7188 219.0 47
245.3281 220.0 47
244.7969 222.0 47
245.5313 223.0 47
246.8906 225.0 47
247.7344 227.0 47
246.5938 229.0 47
248.0625 231.0 47
247.9219 234.0 47
248.5156 237.0 47
250.7500 239.0 47
249.2188 243.0 47
251.0781 247.0 47
250.8125 253.0 47
250.9063 261.0 47
253.5625 642.0 47
254.1563 642.0 47
254.6406 665.0 47
256.8438 453.0 47
255.9531 904.0 47
256.5469 909.0 47
257.1563 920.0 47
259.7656 440.0 47
260.3594 439.0 47
260.8594 438.0 47
261.4375 438.0 47
261.9219 438.0 47
262.6563 436.0 47
263.0000 436.0 47
263.7344 436.0 47
264.3281 435.0 47
264.9375 434.0 47
265.5469 435.0 47
266.1406 433.0 47
266.8750 434.0 47
267.2188 434.0 47
268.0781 434.0 47
268.6875 432.0 47
269.1563 432.0 47
269.6406 432.0 47
270.3594 434.0 47
271.2188 431.0 47
271.8281 434.0 47
272.1719 433.0 47
272.6406 434.0 47
273.5156 435.0 47
274.0938 434.0 47
274.4531 434.0 47
275.2969 436.0 47
275.7656 436.0 47
276.5000 437.0 47
277.2188 438.0 47
277.7031 439.0 47
278.0469 439.0 47
278.7656 440.0 47
279.5000 441.0 47
279.9688 442.0 47
280.4531 443.0 47
281.1719 444.0 47
281.6406 444.0 47
282.3750 446.0 47
282.9688 447.0 47
283.4531 448.0 47
284.8906 445.0 47
285.3750 434.0 47
286.0938 415.0 47
286.9531 398.0 47
287.5469 384.0 47
288.5156 369.0 47
289.3750 355.0 47
289.7188 343.0 47
291.0938 331.0 47
291.2969 321.0 47
291.9063 312.0 47
293.3750 302.0 47
293.9844 301.0 47
294.0781 302.0 47
294.4375 304.0 47
295.4063 305.0 47
296.2656 306.0 47
296.6250 307.0 47
297.3438 309.0 47
297.5781 311.0 47
298.2969 312.0 47
298.6563 314.0 47
299.6406 315.0 47
299.8594 317.0 47
300.7188 318.0 47
300.9375 320.0 47
301.6719 323.0 47
302.2813 324.0 47
302.7500 326.0 47
303.7500 328.0 47
303.9531 330.0 47
304.6875 333.0 47
305.0469 335.0 47
305.8906 337.0 47
306.5000 339.0 47
306.8438 342.0 47
307.7031 344.0 47
308.0625 347.0 47
308.5313 350.0 47
308.8906 352.0 47
309.6094 355.0 47
310.4688 359.0 47
311.2031 362.0 47
313.2969 604.0 47
313.9063 611.0 47
314.5000 618.0 47
315.1094 624.0 47
315.7031 630.0 47
316.3125 637.0 47
316.7969 645.0 47
317.3906 653.0 47
318.0000 659.0 47
318.6094 665.0 47
319.2188 675.0 47
319.8125 683.0 47
320.2813 692.0 47
320.8906 700.0 47
321.5000 709.0 47
321.9688 719.0 47
322.7031 729.0 47
323.1875 740.0 47
323.7813 749.0 47
324.2656 761.0 47
324.9844 774.0 47
325.4688 782.0 47
326.0781 795.0 47
326.6719 809.0 47
327.1563 821.0 47
327.8906 834.0 47
328.3594 847.0 47
328.9688 862.0 47
329.5625 878.0 47
330.0469 896.0 47
330.6406 912.0 47
331.2500 928.0 47
331.8750 910.0 47
336.7969 854.0 47
337.4063 866.0 47
338.0156 861.0 47
338.6094 860.0 47
339.2188 857.0 47
339.8125 845.0 47
340.4219 846.0 47
341.0313 845.0 47
341.6250 844.0 47
342.2344 833.0 47
342.8281 829.0 47
343.4375 829.0 47
344.1719 824.0 47
344.6406 819.0 47
345.3750 820.0 47
345.9688 811.0 47
346.5781 810.0 47
347.0625 810.0 47
347.6563 806.0 47
348.3750 806.0 47
348.9844 805.0 47
349.5781 805.0 47
350.0625 804.0 47
350.6563 806.0 47
351.2656 806.0 47
351.8594 803.0 47
352.5781 803.0 47
353.1875 799.0 47
353.9063 797.0 47
354.3906 799.0 47
354.9844 797.0 47
355.5938 796.0 47
356.1875 795.0 47
356.7969 797.0 47
357.3906 795.0 47
357.9844 796.0 47
358.5938 796.0 47
359.1875 797.0 47
359.7969 798.0 47
0.3906 796.0 47
0.8750 797.0 47
1.5938 798.0 47
2.1875 799.0 47
2.8125 795.0 47
3.3906 798.0 47
4.0000 800.0 47
4.5938 800.0 47
5.2031 807.0 47
5.7969 805.0 47
6.4063 805.0 47
7.0000 806.0 47
7.6094 808.0 47
8.2031 811.0 47
8.8125 814.0 47
9.4063 813.0 47
10.0156 817.0 47
10.4844 818.0 47
11.2188 822.0 47
11.8281 828.0 47
12.2969 829.0 47
13.0313 831.0 47
13.6250 833.0 47
14.1094 805.0 47
14.8281 771.0 47
15.5625 739.0 47
16.2969 710.0 47
17.0156 683.0 47
17.6250 657.0 47
18.2188 635.0 47
18.9531 612.0 47
19.5469 595.0 47
20.4063 576.0 47
21.0000 559.0 47
21.7344 542.0 47
22.4688 526.0 47
23.2031 512.0 47
23.6719 499.0 47
24.3906 486.0 47
25.2500 475.0 47
25.8438 463.0 47
26.5781 453.0 47
27.1875 442.0 47
27.7813 433.0 47
28.3906 424.0 47
29.2500 415.0 47
29.7188 407.0 47
30.5781 399.0 47
31.0625 392.0 47
32.1563 384.0 47
32.7656 377.0 47
33.3750 370.0 47
33.7188 364.0 47
34.5781 357.0 47
35.1875 352.0 47
35.6563 346.0 47
37.0156 341.0 47
37.1250 336.0 47
37.9844 331.0 47
39.0781 327.0 47
39.6875 321.0 47
39.9219 317.0 47
40.3906 313.0 47
41.7500 309.0 47
42.3594 305.0 47
42.8281 301.0 47
43.0625 298.0 47
44.4219 294.0 47
44.3906 291.0 47
45.5000 288.0 47
45.7344 285.0 47
46.5781 282.0 47
47.6875 279.0 47
47.8125 277.0 47
48.2813 274.0 47
49.8750 271.0 47
50.3594 269.0 47
50.2188 266.0 47
51.6875 264.0 47
53.0469 262.0 47
53.1563 259.0 47
54.3906 257.0 47
54.1094 255.0 47
55.0938 253.0 47
55.0781 251.0 47
57.6719 249.0 47
56.1563 248.0 47
57.5156 246.0 47
57.8750 244.0 47
58.0938 243.0 47
58.9531 241.0 47
60.3125 239.0 47
60.2813 238.0 47
62.1406 236.0 47
63.1250 235.0 47
62.4844 234.0 47
64.3281 233.0 47
64.3125 232.0 47
65.5469 230.0 47
65.5156 229.0 47
67.0000 228.0 47
67.3594 227.0 47
67.9688 226.0 47
68.5625 225.0 47
69.1719 224.0 47
69.7813 223.0 47
70.1406 222.0 47
69.7344 221.0 47
70.7188 220.0 47
72.2031 219.0 47
71.5469 219.0 47
73.4063 218.0 47
74.0156 217.0 47
73.6094 217.0 47
74.4688 216.0 47
75.8281 215.0 47
76.4219 215.0 47
77.0313 214.0 47
77.6406 214.0 47
78.2344 213.0 47
78.8438 213.0 47
78.3281 212.0 47
78.9375 212.0 47
80.6563 211.0 47
81.2656 211.0 47
81.8750 211.0 47
81.7188 210.0 47
83.0781 210.0 47
82.5625 210.0 47
84.2813 209.0 47
84.5156 209.0 47
84.7500 210.0 47
86.0938 209.0 47
85.9531 209.0 47
86.8125 209.0 47
87.9063 208.0 47
88.5156 208.0 47
89.1250 208.0 47
89.6094 208.0 47
90.3281 208.0 47
90.9219 208.0 47
91.5313 208.0 47
92.1250 208.0 47
92.7188 208.0 47
92.4531 208.0 47
92.8125 208.0 47
93.6563 209.0 47
94.8750 209.0 47
94.8438 209.0 47
95.7031 209.0 47
96.9219 209.0 47
97.5156 209.0 47
98.1250 210.0 47
97.8438 210.0 47
99.3281 210.0 47
99.7969 211.0 47
100.5156 211.0 47
101.1250 211.0 47
101.7188 212.0 47
101.9531 212.0 47
102.9219 213.0 47
103.5156 213.0 47
104.1250 213.0 47
104.7188 214.0 47
105.3125 215.0 47
105.9219 215.0 47
105.1406 216.0 47
107.1094 216.0 47
106.5938 217.0 47
108.3125 217.0 47
107.7969 218.0 47
109.0156 219.0 47
109.2500 220.0 47
110.7188 220.0 47
111.3281 223.0 47
113.6563 875.0 47
114.9844 773.0 47
114.8438 1392.0 47
116.0469 1420.0 47
116.6563 1435.0 47
117.1250 1427.0 47
117.8594 1344.0 47
240.3750 211.0 47
240.9844 212.0 47
241.5781 213.0 47
242.1875 214.0 47
242.6563 215.0 47
243.3906 216.0 47
244.0000 217.0 47
244.5938 218.0 47
245.2031 220.0 47
245.7969 221.0 47
246.4063 223.0 47
247.0000 225.0 47
247.6094 227.0 47
248.2031 229.0 47
248.2031 231.0 47
247.6563 234.0 47
248.2656 236.0 47
250.6094 239.0 47
249.6094 243.0 47
250.8125 247.0 47
250.3125 252.0 47
