#RPLIDAR SCAN DATA
#COUNT=53833
#Angule	Distance	Quality
271.5313 2544.0 47
272.1406 2591.0 47
273.3750 1183.0 47
273.9844 1177.0 47
274.5781 1175.0 47
276.3750 2427.0 47
276.9844 2462.0 47
277.5938 2515.0 47
278.8125 2612.0 47
279.6406 6584.0 47
280.3750 5764.0 47
283.8594 453.0 47
283.3594 699.0 47
284.6406 1464.0 47
286.2344 1140.0 47
286.8281 1154.0 47
287.4375 1143.0 47
287.9219 1129.0 47
288.6563 1139.0 47
289.2656 1140.0 47
289.8594 1149.0 47
290.9531 1168.0 47
292.1719 1237.0 47
292.7656 1206.0 47
293.5000 1166.0 47
293.9844 1131.0 47
294.7188 1125.0 47
295.3281 1128.0 47
295.9375 1130.0 47
296.5469 1100.0 47
297.1563 1091.0 47
297.7656 1105.0 47
298.3750 1123.0 47
298.9844 1168.0 47
299.4688 1175.0 47
300.2031 1181.0 47
300.6875 1185.0 47
301.2969 1193.0 47
301.9063 1201.0 47
302.5156 1205.0 47
303.1250 1222.0 47
305.9063 5507.0 47
306.5156 5450.0 47
307.1250 5433.0 47
307.7344 4201.0 47
308.3438 5515.0 47
308.9531 5544.0 47
309.5625 5553.0 47
310.1719 5550.0 47
310.7813 5681.0 47
311.3906 5714.0 47
312.0000 5669.0 47
312.6094 5727.0 47
313.2188 5742.0 47
313.8281 5805.0 47
319.1406 567.0 47
319.6250 558.0 47
320.2344 559.0 47
320.8438 565.0 47
321.5781 565.0 47
322.1875 567.0 47
322.9219 552.0 47
323.5313 549.0 47
324.1406 552.0 47
324.8750 538.0 47
325.3594 516.0 47
326.9531 597.0 47
328.7813 504.0 47
329.7344 661.0 47
330.8438 517.0 47
332.6563 680.0 47
333.2813 703.0 47
339.9219 1761.0 47
340.5156 1738.0 47
341.1250 1720.0 47
341.7344 1713.0 47
342.3438 1704.0 47
343.0625 1697.0 47
343.5469 1612.0 47
344.2813 1608.0 47
344.8906 1591.0 47
345.5000 1596.0 47
346.0938 1584.0 47
